filename	scene_label	indoor	outdoor	transportation
0.wav	transportation	0.0015726981	0.006349518	0.9920777
1.wav	transportation	0.017225321	0.0019347764	0.9808401
10.wav	outdoor	0.33212942	0.50004375	0.16782665
100.wav	transportation	0.19568688	0.07141807	0.73289514
1000.wav	transportation	0.38368118	0.076334596	0.5399841
1001.wav	indoor	0.6314817	0.26172724	0.10679112
1002.wav	outdoor	0.039177492	0.8781086	0.08271388
1003.wav	outdoor	0.27350977	0.63849473	0.08799554
1004.wav	outdoor	0.058396824	0.93420964	0.0073935566
1005.wav	indoor	0.8033716	0.19548655	0.0011417414
1006.wav	transportation	0.14810586	0.26474902	0.5871451
1007.wav	outdoor	0.13425186	0.8309814	0.034766816
1008.wav	indoor	0.8135961	0.18374081	0.002663129
1009.wav	outdoor	0.13105518	0.8603632	0.0085816635
101.wav	indoor	0.72652924	0.27293402	0.0005367765
1010.wav	outdoor	0.3598792	0.59150946	0.04861119
1011.wav	transportation	0.010522468	0.001586861	0.98789054
1012.wav	indoor	0.77794933	0.14777616	0.07427462
1013.wav	outdoor	0.19456549	0.51053387	0.2949007
1014.wav	transportation	0.08821875	0.014249477	0.8975318
1015.wav	transportation	0.09294149	0.10751124	0.7995472
1016.wav	outdoor	0.10543448	0.86124504	0.033320557
1017.wav	outdoor	0.36221665	0.6315056	0.0062775454
1018.wav	transportation	0.09480677	0.043471348	0.8617218
1019.wav	transportation	0.20875628	0.08699929	0.7042444
102.wav	outdoor	0.0684139	0.7844626	0.14712366
1020.wav	indoor	0.4387606	0.3837325	0.17750683
1021.wav	indoor	0.7161675	0.2658431	0.01798933
1022.wav	indoor	0.7370208	0.19428724	0.06869199
1023.wav	transportation	0.043116886	0.011456191	0.94542676
1024.wav	indoor	0.4974521	0.45899588	0.04355199
1025.wav	outdoor	0.028261732	0.9706405	0.0010975868
1026.wav	outdoor	0.24179402	0.6596445	0.098561496
1027.wav	outdoor	0.2216367	0.57496053	0.20340292
1028.wav	transportation	0.412026	0.031672392	0.55630165
1029.wav	transportation	0.00040780724	0.0015575711	0.99803466
103.wav	outdoor	0.063506834	0.93517554	0.0013176943
1030.wav	indoor	0.5264651	0.34221357	0.1313214
1031.wav	transportation	0.020378495	0.0046604723	0.9749609
1032.wav	indoor	0.62017024	0.3762334	0.0035963927
1033.wav	indoor	0.532004	0.2856031	0.18239304
1034.wav	transportation	0.381014	0.062166415	0.5568195
1035.wav	indoor	0.61857903	0.3574421	0.023978863
1036.wav	indoor	0.8109123	0.18887447	0.00021323057
1037.wav	transportation	0.03378792	0.04006795	0.92614424
1038.wav	indoor	0.77298075	0.22592835	0.0010909506
1039.wav	transportation	0.055562735	0.058821302	0.885616
104.wav	outdoor	0.023342509	0.9753005	0.0013565881
1040.wav	outdoor	0.013705055	0.9850076	0.0012873006
1041.wav	outdoor	0.1374158	0.77107644	0.09150773
